"nota"
"1" 3,5
"2" 6,5
"3" 5
"4" 8,5
"5" 4,5
"6" 7,5
"7" 4
"8" 6,5
"9" 3
"10" 2,5
"11" 4
"12" 9,5
"13" 6,5
"14" 6
"15" 7,5
"16" 3,5
"17" 6,5
"18" 5
"19" 5
"20" 7,5
"21" 5,5
"22" 4
"23" 3,5
"24" 9
"25" 8
"26" 3
"27" 7,5
"28" 5,5
"29" 3,5
"30" 9
"31" 6
"32" 7
"33" 4,5
"34" 6
"35" 3
"36" 7
"37" 5,5
"38" 7,5
"39" 6
"40" 6
"41" 5
"42" 7,5
"43" 8,5
"44" 6,5
"45" 4
"46" 1,5
"47" 7
"48" 8
"49" 6,5
"50" 6,5
"51" 5,5
"52" 3
"53" 4
"54" 7,5
"55" 8
"56" 4,5
"57" 7,5
"58" 6,5
"59" 6
"60" 3,5
"61" 5
"62" 4,5
"63" 8
"64" 5,5
"65" 4,5
"66" 10
"67" 6
"68" 5
"69" 8
"70" 4,5
"71" 5,5
"72" 5
"73" 7
"74" 6,5
"75" 5,5
"76" 5,5
"77" 6,5
"78" 7
"79" 5,5
"80" 7
"81" 4
"82" 2,5
"83" 6
"84" 8
"85" 6
"86" 2,5
"87" 6,5
"88" 6
"89" 7,5
"90" 5
"91" 10
"92" 6
"93" 7,5
"94" 8,5
"95" 6
"96" 10
"97" 5,5
"98" 5,5
"99" 6
"100" 5
